,date,channel,segment,device,region,response
355,2024-05-27,Push,Returning,Mobile,Seoul,No
356,2024-05-24,Email,Returning,Mobile,Incheon,Yes
357,2024-05-05,Ads,Returning,Mobile,Daejeon,No
358,2024-04-13,Ads,Returning,Desktop,Seoul,Yes
359,2024-04-05,Email,Returning,Mobile,Seoul,Yes
360,2024-05-15,Email,New,Desktop,Seoul,Yes
361,2024-05-26,Ads,New,Mobile,Incheon,No
362,2024-04-21,Search,Returning,Mobile,Busan,Yes
363,2024-05-14,Search,New,Mobile,Seoul,No
364,2024-05-20,Search,New,Mobile,Incheon,No
365,2024-04-19,Email,New,Mobile,Daejeon,Yes
366,2024-05-27,Push,Returning,Mobile,Seoul,Yes
367,2024-04-22,Ads,Returning,Mobile,Daegu,Yes
368,2024-05-21,Ads,Returning,Mobile,Seoul,No
369,2024-04-23,Push,New,Desktop,Gwangju,Yes
370,2024-04-19,Email,Returning,Desktop,Daegu,Yes
371,2024-06-09,Ads,New,Desktop,Gwangju,No
372,2024-07-13,SMS,Returning,Mobile,Gwangju,No
373,2024-07-29,Search,Returning,Desktop,Busan,No
374,2024-04-06,Push,New,Mobile,Incheon,No
375,2024-04-06,Email,Returning,Mobile,Seoul,No
376,2024-06-10,Ads,New,Mobile,Daejeon,No
377,2024-07-05,SMS,New,Desktop,Seoul,No
378,2024-04-30,Ads,New,Mobile,Seoul,Yes
379,2024-04-17,Email,New,Desktop,Seoul,Yes
380,2024-05-13,SMS,Returning,Desktop,Incheon,No
381,2024-07-28,Search,New,Desktop,Gwangju,Yes
382,2024-05-17,Search,New,Desktop,Gwangju,No
383,2024-06-08,SMS,New,Mobile,Seoul,Yes
384,2024-07-20,SMS,Returning,Mobile,Seoul,No
385,2024-07-12,Email,New,Mobile,Seoul,No
386,2024-06-17,Email,New,Desktop,Busan,No
387,2024-06-06,Ads,New,Mobile,Seoul,No
388,2024-04-13,Email,Returning,Mobile,Seoul,No
389,2024-05-25,Ads,New,Mobile,Seoul,No
390,2024-06-28,Email,Returning,Mobile,Daegu,No
391,2024-07-01,SMS,Returning,Mobile,Seoul,Yes
392,2024-05-26,Ads,New,Mobile,Seoul,No
393,2024-04-17,Search,New,Desktop,Daegu,No
394,2024-07-20,Search,New,Mobile,Seoul,No
395,2024-04-06,SMS,Returning,Mobile,Incheon,Yes
396,2024-07-14,SMS,New,Mobile,Gwangju,No
397,2024-07-03,Push,New,Mobile,Busan,Yes
398,2024-06-13,SMS,Returning,Mobile,Busan,No
399,2024-05-15,Ads,Returning,Mobile,Busan,No
400,2024-05-26,Search,Returning,Mobile,Incheon,No
401,2024-05-10,Email,New,Mobile,Busan,No
402,2024-06-18,SMS,Returning,Mobile,Seoul,No
403,2024-06-10,Email,Returning,Desktop,Seoul,No
404,2024-06-02,Search,Returning,Desktop,Busan,No
405,2024-04-03,Push,Returning,Desktop,Daegu,No
406,2024-05-08,Ads,New,Desktop,Gwangju,Yes
407,2024-06-26,Push,Returning,Mobile,Daejeon,No
408,2024-07-23,Push,Returning,Desktop,Incheon,Yes
409,2024-05-17,Ads,New,Desktop,Gwangju,No
410,2024-04-10,Email,Returning,Mobile,Daejeon,No
411,2024-05-06,Push,New,Desktop,Incheon,No
412,2024-04-16,Ads,Returning,Mobile,Incheon,No
413,2024-04-21,Push,New,Mobile,Incheon,No
414,2024-05-03,Email,New,Mobile,Incheon,No
415,2024-07-09,Ads,New,Mobile,Gwangju,No
416,2024-04-22,Search,Returning,Mobile,Seoul,No
417,2024-06-10,SMS,New,Desktop,Daegu,No
418,2024-06-24,Ads,Returning,Mobile,Daejeon,Yes
419,2024-04-01,Ads,New,Mobile,Seoul,No
420,2024-06-24,Push,New,Desktop,Seoul,Yes
421,2024-05-04,Push,Returning,Mobile,Seoul,No
422,2024-04-22,Search,Returning,Mobile,Daejeon,No
423,2024-06-06,SMS,New,Desktop,Busan,No
424,2024-04-12,Push,New,Desktop,Daejeon,No
425,2024-05-18,SMS,Returning,Desktop,Seoul,Yes
426,2024-04-12,Ads,New,Mobile,Busan,No
427,2024-05-07,Ads,New,Mobile,Incheon,Yes
428,2024-06-12,SMS,Returning,Mobile,Busan,No
429,2024-07-19,Search,New,Mobile,Incheon,Yes
430,2024-05-14,Ads,New,Mobile,Seoul,No
431,2024-06-11,Ads,New,Mobile,Seoul,Yes
432,2024-05-24,SMS,Returning,Desktop,Gwangju,No
433,2024-04-08,Email,Returning,Mobile,Busan,Yes
434,2024-04-22,Email,Returning,Mobile,Seoul,No
435,2024-04-20,Ads,Returning,Mobile,Daegu,No
436,2024-07-13,SMS,Returning,Desktop,Incheon,Yes
437,2024-06-26,SMS,Returning,Mobile,Seoul,Yes
438,2024-05-16,Search,New,Mobile,Daegu,Yes
439,2024-05-21,Search,Returning,Mobile,Seoul,No
440,2024-07-09,Push,New,Mobile,Seoul,Yes
441,2024-06-21,Email,New,Desktop,Gwangju,No
442,2024-05-04,Push,New,Desktop,Seoul,Yes
443,2024-04-09,Email,New,Desktop,Daegu,No
444,2024-07-26,Push,Returning,Desktop,Gwangju,Yes
445,2024-06-19,Search,New,Mobile,Gwangju,No
446,2024-06-14,Push,New,Desktop,Busan,No
447,2024-04-19,SMS,Returning,Desktop,Seoul,Yes
448,2024-07-01,SMS,Returning,Mobile,Daejeon,No
449,2024-05-30,SMS,New,Mobile,Seoul,No
450,2024-06-21,Push,Returning,Mobile,Seoul,Yes
451,2024-06-30,Push,Returning,Mobile,Seoul,Yes
452,2024-07-13,SMS,New,Mobile,Busan,No
453,2024-04-01,Search,New,Desktop,Busan,No
454,2024-06-12,Email,New,Desktop,Daegu,No
455,2024-04-14,Ads,Returning,Mobile,Busan,No
456,2024-04-25,Ads,New,Desktop,Seoul,Yes
457,2024-04-13,SMS,Returning,Mobile,Incheon,No
458,2024-05-20,Email,Returning,Mobile,Incheon,No
459,2024-07-08,SMS,Returning,Mobile,Seoul,No
460,2024-06-07,Ads,Returning,Mobile,Busan,No
461,2024-07-06,Push,Returning,Mobile,Seoul,No
462,2024-06-30,Ads,New,Mobile,Busan,No
463,2024-06-21,Ads,New,Mobile,Busan,No
464,2024-06-15,Email,Returning,Desktop,Incheon,No
465,2024-04-02,Push,Returning,Desktop,Seoul,No
466,2024-05-08,Ads,Returning,Mobile,Seoul,Yes
467,2024-05-08,SMS,Returning,Mobile,Busan,No
468,2024-05-25,Email,New,Mobile,Seoul,No
469,2024-07-22,Ads,New,Mobile,Gwangju,Yes
470,2024-06-13,Email,Returning,Mobile,Daegu,Yes
471,2024-07-01,Ads,New,Mobile,Busan,No
472,2024-06-23,Ads,Returning,Desktop,Incheon,No
473,2024-05-14,Push,New,Desktop,Gwangju,No
474,2024-05-21,Email,New,Desktop,Daejeon,No
475,2024-06-24,SMS,New,Mobile,Daegu,No
476,2024-06-06,SMS,New,Mobile,Daegu,Yes
477,2024-07-21,Ads,New,Mobile,Busan,No
478,2024-04-09,Push,Returning,Mobile,Daejeon,No
479,2024-06-02,Push,Returning,Mobile,Daejeon,No
480,2024-06-24,Push,Returning,Mobile,Busan,No
481,2024-05-28,Search,New,Mobile,Incheon,Yes
482,2024-05-19,Email,New,Mobile,Seoul,Yes
483,2024-06-14,Ads,New,Desktop,Busan,No
484,2024-05-03,SMS,New,Mobile,Incheon,Yes
485,2024-07-19,SMS,Returning,Mobile,Seoul,No
486,2024-06-06,Push,New,Desktop,Busan,No
487,2024-04-23,Email,New,Desktop,Incheon,No
488,2024-06-07,Ads,Returning,Mobile,Seoul,No
489,2024-05-12,SMS,New,Mobile,Busan,Yes
490,2024-04-29,SMS,Returning,Desktop,Busan,No
491,2024-05-24,Search,Returning,Mobile,Busan,No
492,2024-06-19,SMS,New,Mobile,Seoul,No
493,2024-07-26,Email,Returning,Desktop,Seoul,No
494,2024-05-16,Email,Returning,Desktop,Seoul,No
495,2024-07-12,Ads,New,Mobile,Seoul,No
496,2024-06-13,Email,Returning,Desktop,Busan,No
497,2024-07-15,Push,New,Desktop,Busan,No
498,2024-05-12,Ads,Returning,Desktop,Gwangju,No
499,2024-05-07,Search,Returning,Mobile,Incheon,No
